TAG,FR,EN,DE,IT,ES,TR
"To better analyze and characterize your territory, upload Excel files to visualize past sales data, sales potential, or any other relevant information directly on the map.","Pour mieux analyser et caractériser votre territoire, chargez un fichier Excel dans le logiciel pour visualiser les données de vente passées, le potentiel de vente ou toute autre information pertinente directement sur la carte.","To better analyze and characterize your territory, upload excel file to visualize past sales data, sales potential, or any other relevant information directly on the map.","Um Ihr Gebiet besser analysieren und charakterisieren zu können, laden Sie eine Excel-Datei in die Software hoch, um vergangene Verkaufsdaten, das Verkaufspotenzial oder andere relevante Informationen direkt auf der Karte anzuzeigen.","Per analizzare e caratterizzare meglio il vostro territorio, caricate un file Excel nel software per visualizzare i dati di vendita passati, il potenziale di vendita o qualsiasi altra informazione pertinente direttamente sulla mappa.","Para analizar y caracterizar mejor su territorio, cargue un archivo Excel en el software para visualizar los datos de ventas anteriores, el potencial de ventas o cualquier otra información relevante directamente en el mapa.","Bölgenizi daha iyi analiz etmek ve karakterize etmek için, geçmiş satış verilerini, satış potansiyelini veya diğer ilgili bilgileri doğrudan harita üzerinde görüntülemek üzere yazılımı bir Excel dosyası yükleyin."
"Automated reports to share with distributors or sales teams","Rapports automatisés à partager avec les distributeurs ou les équipes commerciales","Automated reports to share with distributors or sales teams","Automatisierte Berichte zum Teilen mit Händlern oder Vertriebsteams","Report automatizzati da condividere con i distributori o i team commerciali","Informes automatizados para compartir con los distribuidores o los equipos comerciales","Distribütörler veya satış ekipleriyle paylaşmak için otomatik raporlar"
"Automate the reports you are currently creating manually with Hyperplan data.","Automatisez les rapports que vous créez actuellement manuellement grâce aux données Hyperplan.","Automate the reports you are currently creating manually with Hyperplan data.","Automatisieren Sie Berichte, die Sie derzeit manuell erstellen, mit Hyperplan-Daten.","Automatizza i report che attualmente crei manualmente grazie ai dati Hyperplan.","Automatice los informes que actualmente crea manualmente gracias a los datos de Hyperplan.","Hyperplan verilerini kullanarak şu anda manuel olarak oluşturduğunuz raporları otomatikleştirin."
"Automated comparison with public data","Comparaison automatisée avec les données publiques","Automated comparison with public data","Automatisierter Vergleich mit öffentlichen Daten","Confronto automatico con i dati pubblici","Comparación automatizada con datos públicos","Kamuya açık verilerle otomatik karşılaştırma"
"With each Hyperplan data update, an automatic comparison with public data can be provided to help assess and validate estimations.","À chaque mise à jour des données Hyperplan, une comparaison automatique avec les données publiques peut être fournie pour aider à évaluer et à valider les estimations.","With each Hyperplan data update, an automatic comparison with public data can be provided to help assess and validate estimations.","Bei jeder Aktualisierung der Hyperplan-Daten kann ein automatischer Vergleich mit öffentlichen Daten bereitgestellt werden, um die Schätzungen zu bewerten und zu validieren.","Ad ogni aggiornamento dei dati Hyperplan, è possibile fornire un confronto automatico con i dati pubblici per aiutare a valutare e convalidare le stime.","Cada vez que se actualizan los datos de Hyperplan, se puede proporcionar una comparación automática con los datos públicos para ayudar a evaluar y validar las estimaciones.","Hyperplan verileri her güncellendiğinde, tahminleri değerlendirmek ve doğrulamak için kamuya açık verilerle otomatik bir karşılaştırma sağlanabilir."
"Action recommendations based on Hyperplan data analysis","Recommandations d'actions basées sur l'analyse des données Hyperplan","Action recommendations based on Hyperplan data analysis","Empfehlungen für Maßnahmen auf der Grundlage der Analyse von Hyperplan-Daten","Raccomandazioni di azioni basate sull'analisi dei dati Hyperplan","Recomendaciones de acciones basadas en el análisis de los datos de Hyperplan","Hyperplan verilerinin analizine dayalı eylem önerileri"
"Analyzing our data, we can recomend actions such as visiting specific farms or exploring new markets, based on agronomic events or farming practices.","En analysant nos données, nous pouvons recommander des actions telles que la visite d'exploitations agricoles spécifiques ou l'exploration de nouveaux marchés, en fonction des événements agronomiques ou des pratiques agricoles.","Analyzing our data, we can recomend actions such as visiting specific farms or exploring new markets, based on agronomic events or farming practices.","Durch die Analyse unserer Daten können wir Maßnahmen empfehlen, wie z. B. den Besuch bestimmter landwirtschaftlicher Betriebe oder die Erschließung neuer Märkte, je nach agronomischen Ereignissen oder landwirtschaftlichen Praktiken.","Analizzando i nostri dati, possiamo raccomandare azioni come la visita di specifiche aziende agricole o l'esplorazione di nuovi mercati, in base agli eventi agronomici o alle pratiche agricole.","Al analizar nuestros datos, podemos recomendar acciones como visitar explotaciones agrícolas específicas o explorar nuevos mercados, en función de los acontecimientos agronómicos o las prácticas agrícolas.","Verilerimizi analiz ederek, tarımsal olaylara veya tarım uygulamalarına bağlı olarak belirli çiftlikleri ziyaret etmek veya yeni pazarları keşfetmek gibi eylemler önerebiliriz."
"Regulatory data available","Données réglementaires disponibles","Regulatory data available","Verfügbare regulatorische Daten","Dati normativi disponibili","Datos normativos disponibles","Mevcut yasal veriler"
"New data at parcel level available to help with regulatory topics: watercourse distance and percentage of sand or clay in the soil.","De nouvelles données au niveau des parcelles sont disponibles pour vous aider dans les questions réglementaires : distance par rapport aux cours d'eau et pourcentage de sable ou d'argile dans le sol.","New data at parcel level available to help with regulatory topics: watercourse distance and percentage of sand or clay in the soil.","Es stehen neue Daten auf Parzellenebene zur Verfügung, die Ihnen bei regulatorischen Fragen helfen: Entfernung zu Gewässern und prozentualer Anteil von Sand oder Lehm im Boden.","Sono disponibili nuovi dati a livello di appezzamenti per aiutarti nelle questioni normative: distanza dai corsi d'acqua e percentuale di sabbia o argilla nel suolo.","Hay nuevos datos a nivel de parcelas disponibles para ayudarle en cuestiones normativas: distancia a los cursos de agua y porcentaje de arena o arcilla en el suelo.","Yasal konularda size yardımcı olmak için yeni parsel düzeyinde veriler mevcuttur: su yollarına olan uzaklık ve topraktaki kum veya kil yüzdesi."
"Click to see values","Cliquez pour voir les chiffres","Click to see values","Klicken Sie hier, um die Zahlen anzuzeigen","Clicca per vedere i numeri","Haga clic para ver las cifras","Rakamları görmek için tıklayın"
"Crop rotation based value","Valeur basée sur la rotation des cultures","Crop rotation based value","Wert basierend auf der Fruchtfolge","Valore basato sulla rotazione delle colture","Valor basado en la rotación de cultivos","Ekim dönüşümüne dayalı değer"
"Vote for next features","Votez pour les  fonctionnalités à venir","Vote for next features","Stimmen Sie über  zukünftige Funktionen ab","Vota le  funzionalità future","Vote las  funcionalidades futuras","Gelecek özellikleri oylayın"
"Surface of which","Surface dont","Surface of which","Fläche davon","Superficie di cui","Superficie de la que","Yüzey alanı"
"Percentage of which","Pourcentage dont","Percentage of which","Prozent davon","Percentuale di cui","Porcentaje de la que","Yüzde"
"This feature is now available at the top right of your screen, under csv export","Cette fonctionnalité est désormais disponible en haut à droite de votre écran, sous « Export excel ».","This feature is now available at the top right of your screen, under csv export","Diese Funktion ist jetzt oben rechts auf Ihrem Bildschirm unter „Excel exportieren” verfügbar.","Questa funzionalità è ora disponibile in alto a destra dello schermo, sotto “Esporta in Excel”.","Esta funcionalidad está ahora disponible en la parte superior derecha de su pantalla, en «Exportar a Excel».","Bu özellik artık ekranınızın sağ üst köşesinde, “Excel'e aktar” altında mevcuttur."
"Advanced filters","Filtres avancés","Advanced filters","Erweiterte Filter","Filtri avanzati","Filtros avanzados","Gelişmiş filtreler"
"Field filter","Filtrer des parcelles","Field filter","Parzellen filtern","Filtra appezzamenti","Filtrar parcelas","Parselleri filtrele"
"Farm filter","Filtrer des exploitations","Farm filter","Betriebe filtern","Filtra aziende agricole","Filtrar explotaciones","Çiftlikleri filtrele"
"Between","Entre","Between","Zwischen","Tra","Entre","Aralık"
"and","et","and","und","e","y","ve"
"Average","Moyenne","Average","Durchschnitt","Media","Promedio","Ortalama"
"Sum","Somme","Sum","Summe","Somma","Suma","Toplam"
"Number","Nombre","Number","Anzahl","Numero","Número","Sayı"
"of","de","of","von","di","de",""
"Percentage of surface of which","Pourcentage de la surface dont","Percentage of surface of which","Prozentualer Anteil der Fläche","Percentuale della superficie di cui","Porcentaje de superficie de la cual","Yüzeyin yüzdesi"
"My farms","Mes exploitations","My farms","Meine Betriebe","Le mie aziende agricole","Mis granjas","Çiftliklerim"
"Please zoom in to select fields","Merci de zoomer pour pouvoir selectionner des parcelles","Please zoom in to select fields","Bitte zoomen Sie heran","Ingrandisci per selezionare i campi","Acerque el zoom para seleccionar campos","Alanları seçmek için lütfen yakınlaştırın"
"Zone mode","Mode zones","Zone mode","Zonenmodus","Modalità zona","Modo zona","Bölge modu"
"Please zoom out to select zones","Merci de dé-zoomer pour pouvoir selectionner des zones","Please zoom out to selec zones","Bitte zoomen Sie heraus","Riduci per selezionare le zone","Aleje el zoom para seleccionar zonas","Bölgeleri seçmek için lütfen uzaklaştırın"
"Field mode","Mode parcelles","Field mode","Feldmodus","Modalità campo","Modo campo","Alan modu"
"Add for whole orga","Créer pour tous les utilisateurs de mon organisation","Create for all the users of my organization","Für alle Benutzer meiner Organisation erstellen","Crea per tutti gli utenti della mia organizzazione","Crear para todos los usuarios de mi organización","Kuruluşumun tüm kullanıcıları için oluştur"
